compania,movieId
netflix,s1446
amazon,s6571
amazon,s9063
hulu,s1331
amazon,s1483
netflix,s7053
disney,s322
amazon,s5125
amazon,s2142
disney,s1360
netflix,s903
amazon,s4862
amazon,s7982
hulu,s1438
disney,s869
netflix,s5574
netflix,s6788
amazon,s2995
disney,s1211
disney,s1010
amazon,s7875
amazon,s2497
amazon,s5756
amazon,s9389
disney,s572
netflix,s1831
netflix,s5019
netflix,s692
hulu,s827
netflix,s5044
netflix,s1338
amazon,s8854
netflix,s7658
netflix,s436
disney,s1005
netflix,s3907
amazon,s8143
amazon,s8998
netflix,s5847
hulu,s432
hulu,s145
netflix,s8134
netflix,s8055
amazon,s6436
amazon,s8375
netflix,s5105
netflix,s7833
netflix,s6518
netflix,s695
netflix,s3648
netflix,s6452
amazon,s4408
amazon,s9621
amazon,s7422
netflix,s3568
hulu,s1764
amazon,s1197
amazon,s8316
netflix,s5668
amazon,s3082
amazon,s6833
amazon,s1309
amazon,s6907
netflix,s806
netflix,s3465
hulu,s1625
netflix,s1484
amazon,s6405
netflix,s911
netflix,s5811
netflix,s6933
hulu,s2318
netflix,s7011
amazon,s3771
netflix,s7099
amazon,s6157
amazon,s8832
amazon,s4645
amazon,s8510
netflix,s5122
hulu,s458
netflix,s3122
hulu,s1666
amazon,s8857
amazon,s3023
amazon,s4937
netflix,s1667
amazon,s9042
netflix,s7450
amazon,s7244
netflix,s2702
disney,s501
amazon,s1436
amazon,s2533
amazon,s1872
hulu,s2161
netflix,s404
netflix,s8756
amazon,s1055
netflix,s5409
netflix,s1131
amazon,s33
netflix,s6227
amazon,s4821
netflix,s1792
amazon,s6374
netflix,s8536
amazon,s6628
amazon,s1796
disney,s785
amazon,s2369
netflix,s1117
amazon,s2489
netflix,s1157
netflix,s8646
netflix,s3342
amazon,s6108
netflix,s5522
amazon,s8975
netflix,s7338
netflix,s3948
amazon,s271
netflix,s5864
hulu,s2432
amazon,s5978
amazon,s4434
hulu,s328
amazon,s9613
amazon,s927
netflix,s3313
netflix,s8240
netflix,s2508
netflix,s7474
amazon,s9438
hulu,s3059
hulu,s1801
amazon,s2412
amazon,s3062
netflix,s1055
amazon,s2720
amazon,s7680
netflix,s3818
amazon,s2923
netflix,s7751
hulu,s3051
netflix,s7184
amazon,s8716
amazon,s4997
hulu,s389
netflix,s5734
netflix,s4493
netflix,s5400
hulu,s1065
amazon,s4261
amazon,s4715
amazon,s2787
netflix,s6787
hulu,s2306
netflix,s3358
netflix,s5627
hulu,s2604
netflix,s4621
amazon,s7323
amazon,s6810
disney,s1332
amazon,s8455
hulu,s2857
amazon,s177
amazon,s9207
amazon,s7648
netflix,s7147
hulu,s2305
netflix,s8264
netflix,s6836
amazon,s1041
netflix,s6613
netflix,s5245
hulu,s106
amazon,s3314
netflix,s5095
amazon,s8621
amazon,s9085
netflix,s478
netflix,s3864
amazon,s9642
hulu,s1577
netflix,s4643
amazon,s3596
netflix,s2484
amazon,s426
amazon,s1331
disney,s359
amazon,s1038
amazon,s9472
netflix,s3310
netflix,s160
amazon,s5273
amazon,s9594
netflix,s5940
amazon,s7536
amazon,s2649
hulu,s2994
netflix,s2307
amazon,s7641
netflix,s4642
amazon,s4144
amazon,s655
amazon,s7354
amazon,s1889
amazon,s1176
netflix,s6128
amazon,s4392
hulu,s88
netflix,s2164
disney,s154
netflix,s1685
amazon,s1258
netflix,s719
netflix,s1213
amazon,s459
amazon,s7922
amazon,s7667
netflix,s2548
hulu,s476
disney,s1339
netflix,s5548
hulu,s258
netflix,s7568
amazon,s5710
netflix,s6530
netflix,s2108
amazon,s6967
amazon,s4145
amazon,s6560
netflix,s1905
disney,s54
amazon,s5929
netflix,s2441
disney,s75
amazon,s9530
disney,s409
hulu,s884
netflix,s5009
amazon,s7122
netflix,s8604
netflix,s5866
amazon,s8578
amazon,s8123
netflix,s7462
netflix,s8135
netflix,s434
netflix,s728
amazon,s1938
netflix,s5834
netflix,s1394
amazon,s7521
amazon,s7785
amazon,s3835
disney,s1074
disney,s872
hulu,s2773
amazon,s6847
amazon,s2388
amazon,s9198
netflix,s7913
netflix,s1867
amazon,s79
netflix,s2140
hulu,s1093
amazon,s8401
amazon,s6593
amazon,s7952
hulu,s1709
amazon,s2394
netflix,s3442
netflix,s5411
amazon,s8706
hulu,s2981
amazon,s4147
netflix,s59
amazon,s5355
netflix,s3816
amazon,s1132
hulu,s1765
amazon,s8377
netflix,s8639
amazon,s7298
hulu,s391
amazon,s7176
netflix,s3962
hulu,s938
disney,s1142
netflix,s7711
amazon,s3730
amazon,s8471
amazon,s1875
amazon,s6067
amazon,s1293
amazon,s6619
amazon,s233
disney,s570
amazon,s3548
netflix,s3092
hulu,s2213
netflix,s834
amazon,s2216
amazon,s4929
hulu,s58
amazon,s2535
amazon,s5761
netflix,s1712
amazon,s1036
hulu,s951
netflix,s7136
netflix,s6804
amazon,s2743
disney,s13
netflix,s5463
amazon,s854
amazon,s1142
amazon,s831
amazon,s785
netflix,s7728
amazon,s9516
netflix,s8178
netflix,s5611
netflix,s2542
netflix,s1269
amazon,s6447
amazon,s3375
disney,s1100
amazon,s5165
amazon,s1601
netflix,s4754
amazon,s5879
amazon,s6236
amazon,s6041
amazon,s9444
netflix,s2822
netflix,s3607
amazon,s3362
hulu,s544
disney,s1319
hulu,s1891
amazon,s9521
hulu,s395
amazon,s2782
hulu,s321
amazon,s8579
amazon,s6049
netflix,s7721
hulu,s1474
netflix,s2258
netflix,s6105
netflix,s260
netflix,s1096
hulu,s506
hulu,s2978
amazon,s9478
amazon,s1433
netflix,s6701
amazon,s6895
netflix,s6102
disney,s835
netflix,s4603
netflix,s8680
amazon,s6985
netflix,s4126
netflix,s1698
amazon,s8917
amazon,s2082
hulu,s1923
amazon,s5313
netflix,s3791
netflix,s3266
hulu,s1500
netflix,s4597
amazon,s6702
amazon,s3465
netflix,s662
amazon,s1110
amazon,s2956
amazon,s9505
amazon,s9128
netflix,s4815
netflix,s802
hulu,s2289
netflix,s3565
netflix,s5007
hulu,s1571
amazon,s5893
hulu,s2536
hulu,s310
hulu,s1582
amazon,s7484
amazon,s8812
