id,show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_int,duration_type
ts1,s1,movie,duck the halls: a mickey mouse christmas special,"alonso ramirez ramos, dave wasson","chris diamantopoulos, tony anselmo, tress macneille, bill farmer, russi taylor, corey burton",,2021-11-26,2016,tv-g,"animation, family",join mickey and the gang as they duck the halls!,23,min
ts2,s2,movie,ernest saves christmas,john cherry,"jim varney, noelle parker, douglas seale",,2021-11-26,1988,pg,comedy,santa claus passes his magic bag to a new st. nic.,91,min
ts3,s3,movie,ice age: a mammoth christmas,karen disher,"raymond albert romano, john leguizamo, denis leary, queen latifah",united states,2021-11-26,2011,tv-g,"animation, comedy, family",sid the sloth is on santa's naughty list.,23,min
ts4,s4,movie,the queen family singalong,hamish hamilton,"darren criss, adam lambert, derek hough, alexander jean, fall out boy, jimmie allen",,2021-11-26,2021,tv-pg,musical,"this is real life, not just fantasy!",41,min
ts5,s5,tv show,the beatles: get back,,"john lennon, paul mccartney, george harrison, ringo starr",,2021-11-25,2021,g,"docuseries, historical, music",a three-part documentary from peter jackson capturing a moment in music history with the beatles.,1,season
ts6,s6,movie,becoming cousteau,liz garbus,"jacques yves cousteau, vincent cassel",united states,2021-11-24,2021,pg-13,"biographical, documentary",an inside look at the legendary life of adventurer jacques-yves cousteau.,94,min
ts7,s7,tv show,hawkeye,,"jeremy renner, hailee steinfeld, vera farmiga, fra fee, tony dalton, zahn mcclarnon",,2021-11-24,2021,tv-14,"action-adventure, superhero",clint barton/hawkeye must team up with skilled archer kate bishop to unravel a criminal conspiracy.,1,season
ts8,s8,tv show,port protection alaska,,"gary muehlberger, mary miller, curly leach, sam carlson, stuart andrews, david squibb",united states,2021-11-24,2015,tv-14,"docuseries, reality, survival",residents of port protection must combat volatile conditions to survive and thrive in alaska.,2,seasons
ts9,s9,tv show,secrets of the zoo: tampa,,"dr. ray ball, dr. lauren smith, chris massaro, tiffany burns, mike burns, melinda mendolusky",united states,2021-11-24,2019,tv-pg,"animals & nature, docuseries, family",a day in the life at zootampa is anything but ordinary. it's extraordinary!,2,seasons
ts10,s10,movie,a muppets christmas: letters to santa,kirk r. thatcher,"steve whitmire, dave goelz, bill barretta, eric jacobson",united states,2021-11-19,2008,g,"comedy, family, musical",celebrate the holiday season with all your favorite muppets.,45,min
ts11,s11,movie,adventure thru the walt disney archives,john gleim,"don hahn, kathryn beaumont, pete docter, kevin feige, mark hamill, bob iger",,2021-11-19,2020,tv-pg,documentary,explore the treasures and rich history of the walt disney archives.,59,min
ts12,s12,movie,puppy for hanukkah,,,,2021-11-19,2020,tv-g,"comedy, family, music","check out daveed digg's official music video ""puppy for hanukkah!""",4,min
ts13,s13,movie,the pixar story,leslie iwerks,"stacy keach, john lasseter, brad bird, john musker, ron clements, frank thomas",united states,2021-11-19,2007,g,"documentary, family",a groundbreaking company forever changes the face of filmmaking.,91,min
ts14,s14,tv show,"dr. oakley, yukon vet",,"dr. michelle oakley, zachary fine",united states,2021-11-17,2013,tv-pg,"action-adventure, animals & nature, docuseries","meet dr. michelle oakley, vet to pretty much everything that moves in the rugged yukon.",10,seasons
ts15,s15,movie,america the beautiful,,michael b. jordan,,2021-11-12,2021,tv-pg,animals & nature,"epic, grand portrait of the land across four regions on the most extreme continent. coming in 2022.",2,min
ts16,s16,movie,baymax!,,,,2021-11-12,2021,tv-g,animation,“baymax!” premieres on disney+ summer 2022.,1,min
ts17,s17,movie,ciao alberto,mckenna harris,"jack dylan grazer, marco barricelli",,2021-11-12,2021,tv-pg,"animation, comedy, family",fun-loving sea monster alberto whole-heartedly wants to prove himself to his stoic mentor massimo.,8,min
ts18,s18,tv show,disney fancy nancy,,"mia jenness, alyson hannigan, rob riggle, spencer moss, dana heath","united states, canada",2021-11-12,2018,tv-pg,"animation, kids",nancy makes every day extraordinary!,3,seasons
