id,show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_int,duration_type
ts1,s1,movie,ricky velez: here's everything,,,,2021-10-24,2021,tv-ma,"comedy, stand up",​comedian ricky velez bares it all with his honest lens and down to earth perspective in his first-ever hbo stand-up special.,,
ts2,s2,movie,silent night,,,,2021-10-23,2020,g,"crime, drama, thriller","mark, a low end south london hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by alan, his former cellmate, to do one final job.",94,min
ts3,s3,movie,the marksman,,,,2021-10-23,2021,pg-13,"action, thriller",a hardened arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,108,min
ts4,s4,movie,gaia,,,,2021-10-22,2021,r,horror,a forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,97,min
ts5,s5,movie,settlers,,,,2021-10-22,2021,g,"science fiction, thriller",mankind's earliest settlers on the martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,104,min
ts6,s6,tv show,the halloween candy magic pet,,,,2021-10-22,2021,g,"family, kids","join mila and morphle on a mystery-filled halloween adventure! jam packed with morphs, costumes, twists turns and spooky morphing fun. this 22-minute halloween special will be a kooky, spooky ride! we meet new magic pet candyray who can turn anything or anyone into candy! we also meet felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. there's a race against time to decorate the magic pet center in time for the halloweenist house contest, but with orphle and the bandits getting in their way...it won't be easy. perhaps candyray holds the key!",1,season
ts7,s7,movie,the evil next door,,,,2021-10-21,2020,g,"horror, thriller","new to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son lucas. soon, strange noises start coming from the empty house adjoining theirs. also, who is lucas’s new friend?",88,min
ts8,s8,tv show,the next thing you eat,,,,2021-10-21,2021,g,"cooking & food, documentaries, lifestyle & culture","with the unique insights and experience of ugly delicious creators morgan neville and david chang take a tangy look at food and our relationship to it past, present and future. why do we eat what we eat and are we missing something better? what will we be eating in the future and why?",1,season
ts9,s9,tv show,queens,,,,2021-10-20,2021,tv-14,"drama, music",four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,1,season
ts10,s10,tv show,the bachelorette,,,united states,2021-10-20,2003,tv-14,"reality, romance","abc's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",3,seasons
ts11,s11,tv show,the real queens of hip-hop: the women who changed the game,,,,2021-10-19,2021,g,"music, news",the abc news special explores the inspiring rise of women in hip-hop and is narrated by cheryl “salt” james of salt-n-pepa.,1,season
ts12,s12,movie,dream horse,,,,2021-10-18,2020,pg,"comedy, drama",the film tells the inspiring true story of a small town bartender who decides to breed a racehorse. the community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,113,min
ts13,s13,movie,out of the shadows: the man behind the steele dossier,,,,2021-10-18,2021,g,news,george stephanopoulos sits down with former mi6 spy christopher steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the steele dossier.,,
ts14,s14,tv show,wakefield,,,,2021-10-18,2021,g,"drama, mystery","with a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse nik katira is the most stable person at wakefield mental health unit in the picturesque blue mountains of australia. but as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",1,season
ts15,s15,tv show,home sweet home,,,,2021-10-16,2021,tv-pg,reality,"real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer ava duvernay.",1,season
ts16,s16,movie,showtime championship boxing: lopez vs. salido (r),,,,2021-10-16,2011,g,sports,juan manuel lopez vs. orlando salido for the wbo featherweight title.,,
ts17,s17,tv show,showtime championship boxing: wilder vs. molina,,,,2021-10-16,2015,tv-14,sports,champion deontay wilder vs. eric molina. live from the bartow arena.,1,season
ts18,s18,tv show,america's book of secrets,,,united states,2021-10-15,2012,tv-14,"documentaries, history","america's story can be told in many ways. while much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",1,season
ts19,s19,tv show,beyond oak island,,,,2021-10-15,2020,tv-pg,"history, reality","from pirates such as blackbeard and outlaws like jesse james, to aztec gold, priceless historical artifacts from american history and sunken treasure ships, “beyond oak island” digs deep into the many treasure quests across the globe.",1,season
ts20,s20,tv show,beyond scared straight,,,united states,2021-10-15,2011,tv-14,"documentaries, reality, teen","beyond scared straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. the power of the original scared straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. these youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",6,seasons
ts21,s21,movie,cheer camp killer,,,,2021-10-15,2020,tv-14,thriller,"camp queen bee victoria does not take kindly to a newcomer like sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",87,min
ts22,s22,tv show,hoarders,,,united states,2021-10-15,2009,tv-pg,"health & wellness, lifestyle & culture, reality",each 60-minute episode of hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,7,seasons
ts23,s23,tv show,little women: atlanta,,,united states,2021-10-15,2016,tv-14,"black stories, reality","in little women: atlanta, the little ladies turn it up wherever they go out, especially with club promoter emily leading the charge. there is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",2,seasons
ts24,s24,tv show,marrying millions,,,,2021-10-15,2019,tv-14,"documentaries, reality, romance","marrying millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. regular people are whisked off their feet and plunged into a high-end life of riches",2,seasons
ts25,s25,tv show,nightwatch,,,united states,2021-10-15,2015,tv-14,"documentaries, drama, mystery","""nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.",4,seasons
ts26,s26,tv show,seven year switch,,,,2021-10-15,2017,tv-14,reality,"in seven year switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage.",1,season
ts27,s27,movie,sleepwalker,,,,2021-10-15,2017,tv-14,thriller,a graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,88,min
ts28,s28,tv show,swamp people,,,united states,2021-10-15,2010,tv-pg,"documentaries, reality","deep in the heart of louisiana lies america's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",3,seasons
ts29,s29,tv show,unsolved,,,,2021-10-15,2019,g,"documentaries, news","more than 750 people are missing from houston and the surrounding towns of the major texas city. among the missing are mothers written off by police as runaways. they are hardworking couples who have been targeted. and they are upstanding members of their community who simply slowed down to give someone a ride. some have been found, their bodies dumped in the infamous texas killing fields. others have vanished and their cases gone cold. a year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. but, detectives quietly keep working. they work for the women whose stories are forgotten. they work for the families ripped apart by seemingly random attacks. dna is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. but when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",2,seasons
ts30,s30,tv show,acapulco shore,,,,2021-10-14,2014,tv-14,"latino, reality","a group of young mexicans live together and share fun, drama and a lot of alcohol.",3,seasons
ts31,s31,tv show,catfish méxico,,,,2021-10-14,2018,g,"latino, reality","porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, mtv catfish llega a méxico para salvarte de las mentiras. todos nos merecemos saber quién está detrás de ese perfil falso.",1,season
ts32,s32,movie,censor,,,,2021-10-14,2021,g,horror,a film censor is assigned to review a disturbing film that recalls her childhood memories. she begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,84,min
ts33,s33,tv show,dani who?,,,,2021-10-14,2019,g,"latino, mystery, science fiction",a girl disappears in the town of san gregorio and a group of teenagers decide to investigate what happened.,1,season
ts34,s34,tv show,la culpa es de cortés,,,,2021-10-14,2017,g,"comedy, latino","cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de méxico.",4,seasons
ts35,s35,movie,out of death,,,,2021-10-14,2021,not rated,thriller,"when shannon (jaime king) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, billie (lala kent) brutally murder a drug dealer. having seen shannon witness the murder, billie and her cohorts set off to permanently silence shannon. on the run from the dirty cops, shannon stumbles into and recruits the help of a retired cop, jack harris (bruce willis).",95,min
